aonde gastou,natureza do gasto,valor total,parcelas,no da parcela,valor unitário,tipo,comp,cartao,origem
Petlove*Pl*Clube 4a5(07/10),"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",12.99,10.0,7.0,12.99,Cartão de Crédito,shared,,base
Posto Ortega,Combustível/ Passagens/ Uber / Sem Parar,174.48,,,174.48,Cartão de Crédito,shared,,base
Petlove - Campo Belo,Gastos com Cachorro,56.91,,,56.91,Cartão de Crédito,shared,,base
Localiza Rent A Car,Viagens / Férias,4451.6,,,4451.6,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,150.46,,,150.46,Cartão de Crédito,,,base
Livelo*Clube Livelo,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",44.9,,,44.9,Cartão de Crédito,shared,,base
Ec Pinheiros,Gastos pessoais,3,,,3,Cartão de Crédito,,,base
Rappi*Cia Bras De Dist,Restaurantes/ Bares/ Lanchonetes,-25.69,,,-25.69,Cartão de Crédito,,,base
Shopper,Supermercado,218.84,,,218.84,Cartão de Crédito,,,base
Mercadolivre*Magnow,Gastos com casa (outros),83.51,,,83.51,Cartão de Crédito,,,base
Pg *Trela,Supermercado,235.57,,,235.57,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,37.8,,,37.8,Cartão de Crédito,,,base
Oxxo Princesa Isabel,Gastos pessoais,8.99,,,8.99,Cartão de Crédito,,,base
Smartbreak,Gastos pessoais,10.99,,,10.99,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,14.6,,,14.6,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,137.86,,,137.86,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,13.8,,,13.8,Cartão de Crédito,,,base
Uber Uber *Trip Help U,Combustível/ Passagens/ Uber / Sem Parar,9.94,,,9.94,Cartão de Crédito,,,base
Oxxo Princesa Isabel,Gastos pessoais,30.88,,,30.88,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,106.2,,,106.2,Cartão de Crédito,,,base
Petlove Saud*Petlove S,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",52.11,,,52.11,Cartão de Crédito,shared,,base
Frutaria Original,Restaurantes/ Bares/ Lanchonetes,106.22,,,106.22,Cartão de Crédito,,,base
Amazonprimebr,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",19.9,,,19.9,Cartão de Crédito,shared,,base
Barbearia,Cuidados Pessoais (Nutricionista / Medico / Suplemento),90,,,90,Cartão de Crédito,,,base
Top One Tennis Ltda,Gastos pessoais,90,,,90,Cartão de Crédito,,,base
Carapreta,Restaurantes/ Bares/ Lanchonetes,287.59,,,287.59,Cartão de Crédito,,,base
Yelumseg Parc4,Carro (Manutenção/ IPVA/ Seguro),219.77,,,219.77,Cartão de Crédito,,,base
Drogasil1148,Farmácia,101.28,,,101.28,Cartão de Crédito,,,base
Areia Esportes,Futevolei,380,,,380,Cartão de Crédito,,,base
Unicef*Unicef Brasil,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",62.53,,,62.53,Cartão de Crédito,,,base
Ec *Ochefetanofre,Cuidados Pessoais (Nutricionista / Medico / Suplemento),555.82,,,555.82,Cartão de Crédito,,,base
Swift*Swiftonline,Supermercado,316.3,,,316.3,Cartão de Crédito,,,base
Rappi*Cia Bras De Dist,Restaurantes/ Bares/ Lanchonetes,107.37,,,107.37,Cartão de Crédito,,,base
Pg *Trela,Supermercado,132.3,,,132.3,Cartão de Crédito,,,base
Zul 1 Cartao 1ansr3,Combustível/ Passagens/ Uber / Sem Parar,6.67,,,6.67,Cartão de Crédito,,,base
Mp *Lojabio2 (01/02),Cuidados Pessoais (Nutricionista / Medico / Suplemento),196.2,2.0,1.0,196.2,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,56.7,,,56.7,Cartão de Crédito,,,base
Oxxo Princesa Isabel,Gastos pessoais,28.88,,,28.88,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,36,,,36,Cartão de Crédito,,,base
Mercadolivre*Pinguimv,Gastos pessoais,41.72,,,41.72,Cartão de Crédito,,,base
Rop Com Alim,Restaurantes/ Bares/ Lanchonetes,38,,,38,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,216.12,,,216.12,Cartão de Crédito,,,base
Latam Air,Viagens / Férias,398.04,,,398.04,Cartão de Crédito,,,base
Rest Parador 30,Viagens / Férias,39.36,,,39.36,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,1.33,,,1.33,Cartão de Crédito,,,base
Linkedin,Gastos pessoais,69.99,,,69.99,Cartão de Crédito,,,base
Brava Wella,Viagens / Férias,37.01,,,37.01,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,1.25,,,1.25,Cartão de Crédito,,,base
Rest Moby Dick,Viagens / Férias,156.04,,,156.04,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,5.27,,,5.27,Cartão de Crédito,,,base
Bodega Garzon,Viagens / Férias,102.58,,,102.58,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,3.47,,,3.47,Cartão de Crédito,,,base
Devoto Express,Viagens / Férias,84.31,,,84.31,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,2.85,,,2.85,Cartão de Crédito,,,base
Devoto Express,Viagens / Férias,28.82,,,28.82,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,0.97,,,0.97,Cartão de Crédito,,,base
Icaseipresentes,Gastos com presentes,469.19,,,469.19,Cartão de Crédito,,,base
Marismo Sucursal 1,Viagens / Férias,451.41,,,451.41,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,15.26,,,15.26,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,203.91,,,203.91,Cartão de Crédito,,,base
Star 86 Gru Term Iii,Restaurantes/ Bares/ Lanchonetes,47,,,47,Cartão de Crédito,,,base
Santa Teresita Sucurs,Viagens / Férias,246.63,,,246.63,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,8.34,,,8.34,Cartão de Crédito,,,base
Rancho Portugues Leita,Restaurantes/ Bares/ Lanchonetes,264,,,264,Cartão de Crédito,,,base
Mirella Paes E Doces,Gastos pessoais,33,,,33,Cartão de Crédito,,,base
Rod Estacionamento Eir,Combustível/ Passagens/ Uber / Sem Parar,35,,,35,Cartão de Crédito,,,base
Latam Air,Viagens / Férias,403.56,,,403.56,Cartão de Crédito,,,base
Mabe Comercio De Alime,Restaurantes/ Bares/ Lanchonetes,130,,,130,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,8.47,,,8.47,Cartão de Crédito,,,base
Airbnb Pagam*Airbnb *,Viagens / Férias,355.4,,,355.4,Cartão de Crédito,,,base
Pop 27fev 18h12min,Combustível/ Passagens/ Uber / Sem Parar,9.73,,,9.73,Cartão de Crédito,,,base
Ifood *Ifd*Companhia,Supermercado,39.98,,,39.98,Cartão de Crédito,shared,,base
Seo Renato Padaria,Restaurantes/ Bares/ Lanchonetes,62.59,,,62.59,Cartão de Crédito,,,base
Pg *Medmanipulado Ce(01/02),Cuidados Pessoais (Nutricionista / Medico / Suplemento),713.21,2.0,1.0,713.21,Cartão de Crédito,,,base
M50 C Distribuicao,Restaurantes/ Bares/ Lanchonetes,132.8,,,132.8,Cartão de Crédito,,,base
Ifood *Ifd*Carrefour,Supermercado,223.81,,,223.81,Cartão de Crédito,,,base
Seo Renato Padaria,Restaurantes/ Bares/ Lanchonetes,63.24,,,63.24,Cartão de Crédito,,,base
Ifood *Ifd*Papila Re,Restaurantes/ Bares/ Lanchonetes,75.9,,,75.9,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,51.3,,,51.3,Cartão de Crédito,,,base
Rappi *Rappi Rappi Br,Restaurantes/ Bares/ Lanchonetes,74.82,,,74.82,Cartão de Crédito,,,base
Alo-Bebe-3975 (02/02),Gastos com presentes,77.61,2.0,2.0,77.61,Cartão de Crédito,,,base
Fisia Nike Ecommer (02/02),Gastos com presentes,649.99,2.0,2.0,649.99,Cartão de Crédito,,,base
Zp *Alig Invisalign (09/18),Cuidados Pessoais (Nutricionista / Medico / Suplemento),245.22,18.0,9.0,245.22,Cartão de Crédito,,,base
Anuidade Diferenciad(03/12),"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",0,12.0,3.0,0,Cartão de Crédito,,,base
Barouche,Restaurantes/ Bares/ Lanchonetes,291.54,,,291.54,Cartão de Crédito,,,base
Hide Out Tattoo,Gastos pessoais,200,,,200,Cartão de Crédito,,,base
Bar Arocena Punta D,Viagens / Férias,111.94,,,111.94,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,3.78,,,3.78,Cartão de Crédito,,,base
Rest I Marangatu,Viagens / Férias,162.76,,,162.76,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,5.5,,,5.5,Cartão de Crédito,,,base
Rest I Marangatu,Viagens / Férias,192.31,,,192.31,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,6.5,,,6.5,Cartão de Crédito,,,base
Tienda Daniel Barrera,Gastos com presentes,620,,,620,Cartão de Crédito,,,base
Iof Despesa No Exterior,Gastos com presentes,20.96,,,20.96,Cartão de Crédito,,,base
Rest Hotel Garzon,Viagens / Férias,1221.34,,,1221.34,Cartão de Crédito,,,base
Iof Despesa No Exterior,Viagens / Férias,41.28,,,41.28,Cartão de Crédito,,,base
PIX RECEBIDO Andres Enrique Bale,Viagens / Férias,-187,,,-187,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,1169.16,,,1169.16,Conta Corrente,,,base
PIX RECEBIDO FERNANDO CONDE MARCELINO,Viagens / Férias,-1420,,,-1420,Conta Corrente,,,base
PIX RECEBIDO GUILLERMO MARCELO BALE,Viagens / Férias,-600,,,-600,Conta Corrente,,,base
PIX RECEBIDO LUKAS CARMONA MACEDO DE S,Viagens / Férias,-2376.25,,,-2376.25,Conta Corrente,,,base
PIX RECEBIDO ISABEL HERING,Viagens / Férias,-2084.54,,,-2084.54,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,293.55,,,293.55,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,1174.22,,,1174.22,Conta Corrente,,,base
PIX ENVIADO WISE BRASIL CORRETORA DE,Viagens / Férias,821.95,,,821.95,Conta Corrente,,,base
PIX RECEBIDO BEATRIZ LORD KREISLER,Restaurantes/ Bares/ Lanchonetes,-319.9,,,-319.9,Conta Corrente,,,base
PIX RECEBIDO SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-150,,,-150,Conta Corrente,,,base
PIX RECEBIDO LUKAS CARMONA MACEDO DE S,Viagens / Férias,-2000,,,-2000,Conta Corrente,,,base
PIX ENVIADO Maria Angela Bersani Cali,Gastos com presentes,268,,,268,Conta Corrente,,,base
PIX ENVIADO Juliano Ladeira Cirelli,Restaurantes/ Bares/ Lanchonetes,70,,,70,Conta Corrente,,,base
DEBITO AUT. CONTA GAS COMGAS,Conta de gás,88.68,,,88.68,Conta Corrente,shared,,base
PIX ENVIADO SECRETARIA MUNICIPAL DA F,Moradia (Financiamento/ Aluguel/ Condominio),462.02,,,462.02,Conta Corrente,shared,,base
PAGAMENTO IPVA-CANAIS INTERNET LICENCIAMENTO EL,Carro (Manutenção/ IPVA/ Seguro),821.46,,,821.46,Conta Corrente,,,base
PIX RECEBIDO Marcelo Balas,Restaurantes/ Bares/ Lanchonetes,-86,,,-86,Conta Corrente,,,base
PIX ENVIADO Andrei Vieira,Gastos com presentes,46,,,46,Conta Corrente,,,base
PIX RECEBIDO Meliuz SA,Gastos com casa (outros),-83.72,,,-83.72,Conta Corrente,,,base
PIX RECEBIDO SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-1619.99,,,-1619.99,Conta Corrente,,,base
PIX ENVIADO Andre Kuhlmann Chohfi,Restaurantes/ Bares/ Lanchonetes,164,,,164,Conta Corrente,,,base
PIX RECEBIDO GABRIEL MORINI,Restaurantes/ Bares/ Lanchonetes,-86,,,-86,Conta Corrente,,,base
PIX RECEBIDO EDUARDO PAES CANDEIAS,Restaurantes/ Bares/ Lanchonetes,-86,,,-86,Conta Corrente,,,base
PIX ENVIADO Joao Guilherme Bersani Ca,Financiamento/Condominio,5250,,,5250,Conta Corrente,shared,,base
PIX RECEBIDO ALINE IVANOV DE SOUSA,Gastos com casa (outros),-500,,,-500,Conta Corrente,shared,,base
PIX RECEBIDO SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-350,,,-350,Conta Corrente,,,base
DEBITO AUT. CTA ENERGIA ELETRICA ENEL ENERGIA,Conta de luz,250.82,,,250.82,Conta Corrente,shared,,base
PIX ENVIADO Fernanda Vautier Franco S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),780,,,780,Conta Corrente,shared,,base
PAGAMENTO DE BOLETO OUTROS BANCOS ZANGARI GESTAO DE SERVICO,Moradia (Financiamento/ Aluguel/ Condominio),1189.65,,,1189.65,Conta Corrente,shared,,base
TRANSF VALOR P/ CONTA DIF TITULAR LUIS ALBERTO FIGUEIREDO D,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",590,,,590,Conta Corrente,,,base
PAGAMENTO DE BOLETO OUTROS BANCOS ESPORTE CLUBE PINHEIROS,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",590,,,590,Conta Corrente,,,base
PAGAMENTO DE BOLETO OUTROS BANCOS EXATA MOVELARIA LTDA - ME,Obra casa,1232,,,1232,Conta Corrente,shared,,base
PIX RECEBIDO SUL AMERICA SERVICOS DE S,Cuidados Pessoais (Nutricionista / Medico / Suplemento),-690,,,-690,Conta Corrente,,,base
PIX ENVIADO Gabriel Morini,Futevolei,150,,,150,Conta Corrente,,,base
PEDAGIO ELETRONICO - SEM PARAR SEM PARAR,Combustível/ Passagens/ Uber / Sem Parar,591.68,,,591.68,Conta Corrente,shared,,base
Taxi 21fev 13h47min,Combustível/ Passagens/ Uber / Sem Parar,20.8,,,20.8,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,20.37,,,20.37,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,6.8,,,6.8,Cartão de Crédito,shared,,base
Pet Love*Pl*Order 10(01/02),Gastos com Cachorro,98.47,2.0,1.0,98.47,Cartão de Crédito,shared,,base
Netflix Entretenimento,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",44.9,,,44.9,Cartão de Crédito,shared,,base
Dm*Helpmaxcom,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",11.9,,,11.9,Cartão de Crédito,shared,,base
Claro Pgto Fatu Mensal,Planos de celular,259.88,,,259.88,Cartão de Crédito,shared,,base
Amazon Marketplace,Supermercado,205.66,,,205.66,Cartão de Crédito,shared,,base
Amazon Marketplace,Supermercado,31.9,,,31.9,Cartão de Crédito,shared,,base
Amazon Marketplace,Supermercado,40.96,,,40.96,Cartão de Crédito,shared,,base
Amazon Marketplace,Supermercado,40.47,,,40.47,Cartão de Crédito,shared,,base
Amazon Marketplace,Supermercado,26.98,,,26.98,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2tb,Viagens / Férias,-23688.7,,,-23688.7,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(04/09),Viagens / Férias,2929.49,9.0,4.0,2929.49,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(05/09),Viagens / Férias,2929.49,9.0,5.0,2929.49,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(06/09),Viagens / Férias,2929.49,9.0,6.0,2929.49,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(07/09),Viagens / Férias,2929.49,9.0,7.0,2929.49,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(08/09),Viagens / Férias,2929.49,9.0,8.0,2929.49,Cartão de Crédito,shared,,base
Emirates Airawp/Ijh2(09/09),Viagens / Férias,2929.49,9.0,9.0,2929.49,Cartão de Crédito,shared,,base
Latam Air (04/04),Viagens / Férias,1131.17,4.0,4.0,1131.17,Cartão de Crédito,shared,,base
Petlove*Pl*Clube 4a5(06/10),Gastos com Cachorro,12.99,10.0,6.0,12.99,Cartão de Crédito,shared,,base
Petlove - Campo Belo,Gastos com Cachorro,41.98,,,41.98,Cartão de Crédito,shared,,base
Drogasil1148,Farmácia,36.82,,,36.82,Cartão de Crédito,shared,,base
Spa Cidade Jardim Sh C,Cuidados Pessoais (Nutricionista / Medico / Suplemento),219.99,,,219.99,Cartão de Crédito,shared,,base
Ifd*Nouzin,Restaurantes/ Bares/ Lanchonetes,99.44,,,99.44,Cartão de Crédito,shared,,base
Autopostoalasca,Combustível/ Passagens/ Uber / Sem Parar,186.16,,,186.16,Cartão de Crédito,shared,,base
Emilio Jorge Felix Mat,Gastos com casa (outros),13,,,13,Cartão de Crédito,shared,,base
Zig*Backyard,Restaurantes/ Bares/ Lanchonetes,25,,,25,Cartão de Crédito,,,base
Zig*Backyard,Restaurantes/ Bares/ Lanchonetes,38,,,38,Cartão de Crédito,,,base
Ifd*G P L Pizza Deliv,Restaurantes/ Bares/ Lanchonetes,122,,,122,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,37.47,,,37.47,Cartão de Crédito,,,base
Ifood *Ifd*Big Kahun,Restaurantes/ Bares/ Lanchonetes,61.59,,,61.59,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,67.14,,,67.14,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,11.96,,,11.96,Cartão de Crédito,,,base
Mercadolivre*Gshield,Gastos pessoais,54.64,,,54.64,Cartão de Crédito,,,base
Track Field,Gastos pessoais,199.9,,,199.9,Cartão de Crédito,,,base
Multiplan Administrado,Combustível/ Passagens/ Uber / Sem Parar,26.5,,,26.5,Cartão de Crédito,,,base
Ec Pinheiros Restauran,Restaurantes/ Bares/ Lanchonetes,43.45,,,43.45,Cartão de Crédito,,,base
Pao De Acucar-0061,Supermercado,289.8,,,289.8,Cartão de Crédito,,,base
Deco Skin,Gastos pessoais,179.9,,,179.9,Cartão de Crédito,,,base
Petlove Saud*Petlove S,Gastos com Cachorro,52.11,,,52.11,Cartão de Crédito,shared,,base
Polis Sucos +,Restaurantes/ Bares/ Lanchonetes,41.8,,,41.8,Cartão de Crédito,,,base
Zig*Mixed X Esbornia 2,Restaurantes/ Bares/ Lanchonetes,198,,,198,Cartão de Crédito,,,base
Zig*Mixed X Esbornia 2,Restaurantes/ Bares/ Lanchonetes,10,,,10,Cartão de Crédito,,,base
Zig*Mixed X Esbornia 2,Restaurantes/ Bares/ Lanchonetes,45,,,45,Cartão de Crédito,,,base
Zig*Mixed X Esbornia 2,Restaurantes/ Bares/ Lanchonetes,60,,,60,Cartão de Crédito,,,base
Zig*Mixed X Esbornia 2,Restaurantes/ Bares/ Lanchonetes,33,,,33,Cartão de Crédito,,,base
Colmeiadocese,Restaurantes/ Bares/ Lanchonetes,9,,,9,Cartão de Crédito,,,base
Princesa Leblon,Restaurantes/ Bares/ Lanchonetes,230,,,230,Cartão de Crédito,,,base
Uber Uber *Trip Help U,Combustível/ Passagens/ Uber / Sem Parar,124.71,,,124.71,Cartão de Crédito,,,base
Zig*Bosque Bar,Restaurantes/ Bares/ Lanchonetes,80,,,80,Cartão de Crédito,,,base
Zig*Bosque Bar,Restaurantes/ Bares/ Lanchonetes,18.87,,,18.87,Cartão de Crédito,,,base
Zig*Bosque Bar,Restaurantes/ Bares/ Lanchonetes,34,,,34,Cartão de Crédito,,,base
Vaniaclemente,Gastos pessoais,37,,,37,Cartão de Crédito,,,base
Belmonte Leblon,Restaurantes/ Bares/ Lanchonetes,75.5,,,75.5,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,27.46,,,27.46,Cartão de Crédito,,,base
Galeto Rainha Leblon,Restaurantes/ Bares/ Lanchonetes,151.61,,,151.61,Cartão de Crédito,,,base
Jobi,Restaurantes/ Bares/ Lanchonetes,125,,,125,Cartão de Crédito,,,base
Drogarias Pacheco,Cuidados Pessoais (Nutricionista / Medico / Suplemento),177.99,,,177.99,Cartão de Crédito,,,base
Tt Burger - Leblon,Restaurantes/ Bares/ Lanchonetes,69.9,,,69.9,Cartão de Crédito,,,base
Yelumseg Parc3,Carro (Manutenção/ IPVA/ Seguro),219.77,,,219.77,Cartão de Crédito,,,base
Superticket,Gastos pessoais,280,,,280,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,17.45,,,17.45,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,20.68,,,20.68,Cartão de Crédito,,,base
Tun*Goomer*Srtabaco,Gastos pessoais,230,,,230,Cartão de Crédito,,,base
Airbnb Pagam*Airbnb *,Viagens / Férias,2280.87,,,2280.87,Cartão de Crédito,,,base
Alo-Bebe-3975 (01/02),Gastos com presentes,77.61,2.0,1.0,77.61,Cartão de Crédito,,,base
Hotel At Booking Com,Viagens / Férias,-2839.35,,,-2839.35,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,24.63,,,24.63,Cartão de Crédito,,,base
Hotel At Booking Com,Viagens / Férias,2839.35,,,2839.35,Cartão de Crédito,,,base
Nespresso,Supermercado,-14.1,,,-14.1,Cartão de Crédito,,,base
Fisia Nike Ecommer (01/02),Gastos com presentes,650,2.0,1.0,650,Cartão de Crédito,,,base
On Sportswear,Gastos com presentes,1299,,,1299,Cartão de Crédito,,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,11.4,,,11.4,Cartão de Crédito,,,base
Uber Uber *Trip Help U,Combustível/ Passagens/ Uber / Sem Parar,21.62,,,21.62,Cartão de Crédito,,,base
Uber* Trip,Combustível/ Passagens/ Uber / Sem Parar,33.4,,,33.4,Cartão de Crédito,,,base
Areia Esportes,Futevolei,2850,,,2850,Cartão de Crédito,,,base
Zp *Alig Invisalign (08/18),Cuidados Pessoais (Nutricionista / Medico / Suplemento),245.22,18.0,8.0,245.22,Cartão de Crédito,,,base
Olga Ri,Restaurantes/ Bares/ Lanchonetes,64.7,,,64.7,Cartão de Crédito,,,base
Caires Comercio De A,Restaurantes/ Bares/ Lanchonetes,69.43,,,69.43,Cartão de Crédito,,,base
Nestle Brasil Ltda,Restaurantes/ Bares/ Lanchonetes,28.2,,,28.2,Cartão de Crédito,,,base
Doog Hot Dog,Restaurantes/ Bares/ Lanchonetes,36,,,36,Cartão de Crédito,,,base
Cfc Comercio De Alim,Restaurantes/ Bares/ Lanchonetes,34,,,34,Cartão de Crédito,,,base
Seo Renato Padaria,Restaurantes/ Bares/ Lanchonetes,68.94,,,68.94,Cartão de Crédito,,,base
Oxxo Princesa Isabel,Gastos pessoais,19.98,,,19.98,Cartão de Crédito,,,base
Sports Clinic,Cuidados Pessoais (Nutricionista / Medico / Suplemento),1800,,,1800,Cartão de Crédito,,,base
Recanto Da Tamarinei,Restaurantes/ Bares/ Lanchonetes,28.3,,,28.3,Cartão de Crédito,,,base
Recanto Da Tamarinei,Restaurantes/ Bares/ Lanchonetes,66,,,66,Cartão de Crédito,,,base
Alasca,Restaurantes/ Bares/ Lanchonetes,35,,,35,Cartão de Crédito,,,base
Ec Pinheiros,Cuidados Pessoais (Nutricionista / Medico / Suplemento),3,,,3,Cartão de Crédito,,,base
Soul Botequim,Restaurantes/ Bares/ Lanchonetes,114.02,,,114.02,Cartão de Crédito,,,base
Bar E Restaurante Cuc,Restaurantes/ Bares/ Lanchonetes,32.66,,,32.66,Cartão de Crédito,,,base
Soul Botequim,Restaurantes/ Bares/ Lanchonetes,19.1,,,19.1,Cartão de Crédito,,,base
Esconderijo,Restaurantes/ Bares/ Lanchonetes,111.8,,,111.8,Cartão de Crédito,,,base
Esconderijo,Restaurantes/ Bares/ Lanchonetes,210.8,,,210.8,Cartão de Crédito,,,base
Marcelobanana,Supermercado,6,,,6,Cartão de Crédito,,,base
Mirella Paes E Doces,Gastos pessoais,6,,,6,Cartão de Crédito,,,base
Hortus Bar,Restaurantes/ Bares/ Lanchonetes,117.7,,,117.7,Cartão de Crédito,,,base
Martin Parrilla Bar,Restaurantes/ Bares/ Lanchonetes,18.16,,,18.16,Cartão de Crédito,,,base
Nonno Nico Restauran,Restaurantes/ Bares/ Lanchonetes,37.7,,,37.7,Cartão de Crédito,,,base
Viana Bar,Restaurantes/ Bares/ Lanchonetes,19.69,,,19.69,Cartão de Crédito,,,base
Zig*Areia Malibu,Restaurantes/ Bares/ Lanchonetes,68.4,,,68.4,Cartão de Crédito,,,base
Thule (06/06),Gastos com presentes,125,6.0,6.0,125,Cartão de Crédito,,,base
